index,id_local,desc_barrio_local,clase_vial_edificio,desc_vial_edificio,num_edificio,rotulo,desc_epigrafe
46675,270034244,TRAFALGAR,CALLE,MONTELEON,27,GRACIAS PADRE,BAR RESTAURANTE
46692,270035169,EL SALVADOR,CALLE,TELEMACO,8,BAR-RESTAURANTE LUDANA (LOCAL 4 Y 5),BAR RESTAURANTE
46695,270035550,VISTA ALEGRE,CALLE,TUCAN,27,CAFETERIA LA GALGUERA,BAR CON COCINA
46699,270035701,VALDEZARZA,CALLE,VALDEVARNES,2,BAR CAFETERIA LOS POETAS,CAFETERIA
46701,280052999,OPAÑEL,CALLE,VALLE DE ORO,5,BAR CAFETERIA DIEGO,BAR CON COCINA
46704,280053035,OPAÑEL,PLAZA,GANDARA DE ORO,3,BAR CAFETERIA CHA YAN,BAR SIN COCINA
46715,270036813,MEDIA LEGUA,CALLE,CAMINO DE LOS VINATEROS,9,TELEPIZZA,RESTAURANTES DE COMIDA RAPIDA
46718,270036897,CONCEPCION,CALLE,VIRGEN DEL SAGRARIO,30,CAFERERIA BLANCO,BAR CON COCINA
46726,280053129,OPAÑEL,CALLE,CAMINO VIEJO DE LEGANES,49,CAFE BAR LA OCHAVA,CAFETERIA
46729,270036959,TRAFALGAR,CALLE,GENERAL ALVAREZ DE CASTRO,24,THE BAR,BAR ESPECIAL SIN ACTUACIONES
46730,270037031,ACACIAS,PASEO,YESERIAS,31,DIVERSIÓN PARTY,CENTROS DE JUEGOS O CELEBRACIONES INFANTILES SIN COCINA
46735,270037502,PALACIO,CALLE,RIO,7,HOTEL CASON DEL TORMES,HOTELES Y MOTELES SIN RESTAURANTE
46736,270037687,PALACIO,CALLE,SILVA,2,CAFETERIA OSMAR,CAFETERIA
46746,270037881,PALACIO,CALLE,FLOR BAJA,3,HOTEL MAYORAZGO,HOTELES Y MOTELES CON RESTAURANTE
46748,270038002,PALACIO,CALLE,GRAN VIA,55,RESTAURANTE MCDONALD´S,BAR RESTAURANTE
46749,270038067,PALACIO,CALLE,ARRIETA,15,CAFETERIA ORIENTE,CAFETERIA
46750,270038155,PALACIO,CALLE,SANTA CLARA,10,RESTAURANTE CASA MARTA,RESTAURANTE
46753,270038462,PALACIO,CALLE,SEÑORES DE LUZON,3,KATHMANDU,CAFETERIA
