INDEX,ID-EVENTO,TITULO,PRECIO,GRATUITO,DIAS-SEMANA,FECHA,FECHA-FIN,HORA,DESCRIPCION,NOMBRE-INSTALACION,ACCESIBILIDAD-INSTALACION,CLASE-VIAL-INSTALACION,NOMBRE-VIA-INSTALACION,NUM-INSTALACION,BARRIO-INSTALACION,LATITUD,LONGITUD,TIPO
537,11830288,Israel Fernández,Platea: 30 euros Preferente frontal A/B filas 1-4: 30 euros Preferente frontal A/B filas 5-11: 25 euros Preferente frontal C/D filas 1-11: 25 euros Preferente escenario: 30 euros Grada: 22 euros Silla de ruedas: 25 euros,0,-,2023-02-01 00:00:00.0,2023-02-01 23:59:00.0,20:00,"El cantaor, compositor y músico flamenco Israel Fernández vuelve al Teatro Circo Price para presentar su nuevo trabajo. Su voz, tan llena de matices, ha conquistado los oídos de varias generaciones. Con un pie en la tradición y otro en la contemporaneidad y tras una exitosa junto al guitarrista Diego del Morao en el disco ?Amor? viene con su trabajo más personal en el que muestra su visión más íntima del entorno que lo rodea y de su manera de interactuar con el mundo exterior. Israel Fernández (Corral de Almaguer, 1989), artista gitano con ascendencia andaluza, ha publicado varios álbumes, como ?Universo Pastora? y 'Amor' donde comenzó a desarrollar esta mirada. También ha grabado un video en el estudio Colors, como Billie Eilish, Maluma y Kidd Keo, pero cantando flamenco al compás que dictan los nudillos. Su puesta en escena, personal y cuidada, le ha ayudado a la hora de consolidarse como una de las últimas grandes revelaciones. Diego del Morao (Jerez de la Frontera, 1979), uno de los guitarristas flamencos más reconocidos del momento, tanto a nivel nacional como Internacional, ha sido capaz de mantener la escuela familiar y sobre ella crear su propia música, posiblemente su toque sea uno de los más reconocibles entre los guitarristas actuales. Hijo de Moraíto Chico y, por lo tanto, parte de una de las sagas guitarrísticas más importantes de la historia reciente del flamenco, ha acompañado a artistas como Diego El Cigala, Niña Pastori, José Mercé, Marina Heredia, Duquende o el propio Paco de Lucía El artista ha sido galardonado con un Premio Odeón al Mejor Álbum de Flamenco? por Amor (2021) y nominado a los premios Latin Grammy? como Mejor Álbum De Música Flamenca (2021). Su trayectoria, más que asentada, promete un exitoso porvenir.",Teatro Circo Price,['1'],RONDA,ATOCHA,35.0,PALOS DE MOGUER,40.40596423138839,-3.698601359753866,ProgramacionDestacadaAgendaCultura
539,11735910,IV Festival Música Antigua Madrid,Más información sobre precios y programación en próximas fechas.,0,"['L', 'M', 'X', 'J', 'V', 'S', 'D']",2023-06-06 00:00:00.0,2023-06-11 23:59:00.0,-,-,Fernán Gómez Centro Cultural de la Villa,['1.6'],PLAZA,COLON,4.0,RECOLETOS,40.42492634761077,-3.689920851966343,ProgramacionDestacadaAgendaCultura
540,11830273,Izaro,Platea: 26 euros Preferente: frontal: 24 euros Preferente escenario: 26 euros Grada: 22 euros Silla de ruedas: 24 euros,0,-,2023-01-27 00:00:00.0,2023-01-27 23:59:00.0,20:00,"Con este concierto en el Teatro Circo Price, IZARO pone fin a la gira 'Limones de oro' que inició en el Velódromo de Anoeta de San Sebastián ante 6000 personas y que ha pasado por París, Buenos Aires, Helsinki y más de 20 ciudades españolas. En esta ocasión le acompañarán sobre el escenario algunas de las artistas que han participado en su último disco, como Amaral o Cris Belako. Pronto anunciará más sorpresas para lo que promete ser un final auténticamente feliz. Nadie duda que es el momento de IZARO. Unos días después del lanzamiento de su quinto single (La Felicidad junto a Daymé Arocena), ya se puede comprobar la ambición, el cariño y la sensibilidad que irradia su cuarto trabajo de estudio, 'Limones de oro', un compendio de colaboraciones y encuentros felices de su repertorio con amigas y artistas admiradas y por donde asoman dos joyitas, dos canciones nuevas. 'Limones de Oro', es un disco muy especial en el que IZARO a través de diversas colaboraciones reúne voces y mentes que le inspiran, que le atraen y le sugieren desde lo artístico y lo humano. Está formado por 16 canciones en las que IZARO canta con artistas llegadas de Mexico (Alex Ferreira, Bratty, Silver Rose), Cuba (Daymé Arocena), Brasil (Duda in the sky), España (Zahara, Pedro Pastor, Xoel López, Rozalén, Amaral) o del País Vasco ( Cris Belako, Eñaut Elorrieta, Mikel Urdangarin, Gartxot, Eñaut Gaztañaga). Este trabajo es un proyecto repleto de ilusión y positividad. Un disco que consolidará a Izaro como una de las jóvenes voces femeninas más relevantes de la escena, a nivel nacional e internacional. Este disco es una colección de favoritos. Una segunda vida de aquel trabajo 'Limones en Invierno' que pretende simbolizar la importancia de prestar atención a lo que a una le hace feliz, y de intentar hacerlo. 16 canciones, 15 colaboraciones, una pequeña colección de cumple sueños. 13 canciones de la discografía de la artista, 2 canciones nuevas y una adaptación.",Teatro Circo Price,['1'],RONDA,ATOCHA,35.0,PALOS DE MOGUER,40.40596423138839,-3.698601359753866,ProgramacionDestacadaAgendaCultura
546,11790648,Japan desu (exposición),Acceso libre hasta completar aforo,0,"['M', 'X', 'J', 'V', 'S', 'D']",2022-10-19 00:00:00.0,2022-12-04 23:59:00.0,-,-,Matadero Madrid,['1'],PLAZA,LEGAZPI,8.0,CHOPERA,40.3910548685872,-3.695807289289216,-
548,11768382,Javiera de la Fuente «Envioletá»,12 euros,0,-,2023-05-04 00:00:00.0,2023-05-04 23:59:00.0,20:00,-,Centro de Cultura Contemporánea Conde Duque,['1'],CALLE,CONDE DUQUE,9.0,UNIVERSIDAD,40.42802889001877,-3.710182353581842,ProgramacionDestacadaAgendaCultura
553,11768346,"Jorge Dutor, Guillem Mont de Palol y Cris Blanco «lo pequeño»",12 euros,0,-,2022-12-17 00:00:00.0,2022-12-17 23:59:00.0,18:00,-,Centro de Cultura Contemporánea Conde Duque,['1'],CALLE,CONDE DUQUE,9.0,UNIVERSIDAD,40.42802889001877,-3.710182353581842,ProgramacionDestacadaAgendaCultura
562,11768130,Julius Heinemann «Pueblo Potemkin»,Acceso libre,0,"['L', 'M', 'X', 'J', 'V', 'S', 'D']",2022-10-07 00:00:00.0,2022-12-04 23:59:00.0,-,-,Centro de Cultura Contemporánea Conde Duque,['1'],CALLE,CONDE DUQUE,9.0,UNIVERSIDAD,40.42802889001877,-3.710182353581842,ProgramacionDestacadaAgendaCultura
563,11768388,JÉRÔME BEL «GALA»,18 euros,0,-,2023-05-19 00:00:00.0,2023-05-21 23:59:00.0,-,-,Centro de Cultura Contemporánea Conde Duque,['1'],CALLE,CONDE DUQUE,9.0,UNIVERSIDAD,40.42802889001877,-3.710182353581842,ProgramacionDestacadaAgendaCultura
567,11830294,Kevin Johansen,Platea: 35 euros Preferente frontal: 32 euros Preferente escenario: 35 euros Grada: 28 euros Silla de ruedas: 32 euros,0,-,2023-02-02 00:00:00.0,2023-02-02 23:59:00.0,20:00,"Kevin Johansen aterrizará en Madrid para presentar su nuevo disco 'Tú Ve'. En el álbum Kevin se reversiona, versiona temas de otros e invita al espectador a ser testigo directo de lo que sucede puertas adentro. En 'Tú Ve Tour', Kevin Johansen nos transporta a través del escenario a la intimidad de su hogar y los encuentros con amigos donde canciones propias y ajenas se vuelven parte de la celebración del encuentro. En este disco, las participaciones de amigos músicos admirados por Johansen son numerosas, podemos encontrar a David Byrne, Natalia Lafourcade, Jorge Drexler, Rubén Rada y Silvia Pérez Cruz con quienes puede compartir momentos musicales, en la intimidad de su casa o un bar en algún lugar del mundo. Y así también canta junto a su hija Wiranda Johansen dos himnos como son Oración al Tiempo, de Caetano Veloso y Perfect Day, de Lou Reed. 'Tú Ve' es conceptual, simple, minimalista y muestra al artista en una faceta más íntima. La música deja espacios y logra llegar a la esencia del sonido de Kevin. El artista se llena de influencias y se carga de estilos y comparte que el secreto de tocar un buen cover es, de alguna manera, transformar la canción en otra cosa. El artista nació en Alaska, de madre argentina y padre norteamericano. Tuvo un breve paso por el rock local argentino con Instrucción Cívica ('Obediencia Debida', 1985, disco de oro en Perú). En 1990, se fue a ?redescubrir? la América del Norte de su infancia y vivió allí casi 10 años. Al poco tiempo de llegar, conoció a Hilly Krystol, dueño de CBGB?s, quien lo invitó a participar de su futuro sello. Durante los ?90, grabó y tocó allí como ?house band?, también en el Knitting Factory y el Mercury Lounge, entre otros. En el 2000, Kevin regresa a Buenos Aires, donde se instala definitivamente y consolida su carrera. Divertidas, profundas, lúdicas, inteligentes, reflexivas, son algunas de las características con las que se pueden definir su música y sus canciones. Un artista de carácter internacional. En Inverfest vas a reconocer a un artista de carácter internacional, una banda sólida forjada a lo largo de los años y un concierto de los más completos que se pueden presenciar hoy",Teatro Circo Price,['1'],RONDA,ATOCHA,35.0,PALOS DE MOGUER,40.40596423138839,-3.698601359753866,ProgramacionDestacadaAgendaCultura
568,11785667,Kimono Joya,Acceso libre,0,"['M', 'X', 'J', 'V', 'S', 'D']",2022-10-04 00:00:00.0,2023-02-19 23:59:00.0,-,-,Matadero Madrid,['1'],PLAZA,LEGAZPI,8.0,CHOPERA,40.3910548685872,-3.695807289289216,-
